Date,Comparison_Type
20150119,53799
20150121,17157
20150122,52821
20150124,25200
20150125,42001
20150126,40768
20150127,42036
20150128,30000
20150129,22202
20150130,44401
20150131,24001
20150201,15601
20150202,30601
20150203,4202
20150204,25142
20150205,41461
20150206,29401
20150207,13801
20150208,18001
20150209,3000
20150210,31125
20150211,27076
20150212,48520
20150213,19546
20150215,33600
20150216,25803
20150218,30001
20150219,18601
20150220,28801
20150221,19800
20150222,22801
20150223,12600
20150224,22687
20150225,34318
20150226,30600
20150227,53402
20150228,16203
20150301,40200
20150303,10200
20150304,27602
20150305,46062
20150306,52198
20150307,50544
20150308,33601
20150309,46800
20150310,21001
20150311,55046
20150312,55957
20150313,55200
20150314,33000
20150315,46635
20150316,51769
20150317,59829
20150318,54774
20150319,25201
20150320,30420
20150321,16982
20150323,13801
20150324,14400
20150325,24601
20150326,46803
20150327,36601
20150328,39001
20150329,39001
20150330,22201
20150331,33002
20150401,54002
20150402,29401
20150403,32400
20150404,15000
20150405,15001
20150406,35402
20150407,33001
20150408,51971
20150409,21601
20150410,54594
20150411,43814
20150412,42002
20150413,41400
20150414,41401
20150415,36001
20150416,30600
20150418,49772
20150419,67833
20150420,35402
20150421,28801
20150423,4801
20150424,32401
20150425,23401
20150426,30001
20150427,28802
20150428,15541
20150429,48658
20150430,19200
20150501,48001
20150502,15001
20150503,38329
20150504,11473
20150505,25801
20150506,601
20150507,16801
20150508,7800
20150509,43803
20150510,52110
20150511,40294
20150512,42600
20150513,17405
20150514,48498
20150515,51105
20150516,46093
20150517,14508
20150518,56888
20150519,39715
20150520,53882
20150521,47520
20150522,45001
20150523,33471
20150524,22198
20150525,64333
20150526,34200
20150527,41403
20150528,34195
20150529,13804
20150530,34055
20150531,30600
20150601,31951
20150602,18001
20150603,2400
20150604,18601
20150606,12601
20150608,8400
20150609,18600
20150611,55802
20150612,6600
20150613,599
20150615,600
20150616,7801
20150618,4201
20150623,16201
20150625,37202
20150626,1800
20150628,2400
20150630,15602
20150701,32400
20150702,36602
20150703,4200
20150705,30000
20150706,22800
20150707,7200
20150708,6599
20150709,36345
20150710,20399
20150711,31202
20150712,31802
20150713,39587
20150714,36615
20150715,28802
20150716,40802
20150717,25801
20150718,6001
20150719,29401
20150720,37203
20150721,41659
20150722,34543
20150723,42601
20150725,26400
20150726,45246
20150727,42358
20150728,12001
20150729,5400
20150730,29401
20150731,40432
20150801,17770
20150802,32401
20150803,34802
20150804,23401
20150805,36601
20150806,18001
20150807,36601
20150808,38011
20150809,48002
20150810,42594
20150811,24009
20150812,15600
20150813,30002
20150814,13200
20150815,23400
20150816,33001
20150817,10801
20150818,34802
20150819,27001
20150820,33001
20150821,30002
20150822,50401
20150823,28200
20150824,21002
20150825,35402
20150826,31801
20150827,15600
20150828,21600
20150829,37202
20150901,13200
20150903,47402
20150904,26401
20150905,21600
20150906,27602
20150907,22801
20150908,27001
20150909,13200
20150910,21002
20150911,8400
20150913,599
20150914,2400
20150915,28800
20150916,10202
20150917,15002
20150918,4200
20150919,15001
20150920,13799
20150921,10200
20150922,28802
20150923,12600
20150924,12599
20150925,13201
20150927,28201
20150929,600
20150930,36452
20151001,28951
20151002,31801
20151004,12000
20151005,24600
20151006,5401
20151007,27000
20151008,23402
20151009,22801
20151010,31201
20151011,18600
20151012,15001
20151013,1200
20151014,21000
20151015,16803
20151016,17399
20151017,10201
20151019,37597
20151020,30696
20151021,26402
20151022,12600
20151023,17400
20151024,60493
20151025,36006
20151026,53403
20151027,4200
20151028,28802
20151029,29400
20151030,24000
20151031,10200
20151101,19800
20151102,36599
20151103,34802
20151104,40801
20151105,30601
20151106,10800
20151107,1200
20151109,2400
20151110,16802
20151111,22801
20151112,28201
20151113,22202
20151114,18001
20151115,18000
20151116,12001
20151118,21605
20151119,37798
20151120,38401
20151121,22200
20151122,26401
20151123,19196
20151124,21603
20151125,34200
20151126,42580
20151127,40225
20151128,13800
20151129,28201
20151130,36601
20151201,21001
20151202,22802
20151203,27601
20151204,24601
20151205,22801
20151206,6600
20151207,26400
20151208,33000
20151209,13801
20151210,30000
20151211,27001
20151212,11986
20151213,30602
20151214,20401
20151215,23401
20151216,25201
20151217,47403
20151218,24602
20151219,51537
20151220,25867
20151221,15601
20151222,30000
20151223,15527
20151224,33002
20151225,26401
20151226,21000
20151227,39600
20151228,18001
20151229,39601
20151230,25802
20151231,13798
20160102,35402
20160103,31801
20160105,7800
20160106,35362
20160107,35998
20160108,52802
20160109,28200
20160110,34201
20160111,10199
20160112,14401
20160113,7201
20160114,22201
20160115,27001
20160116,31200
20160117,28802
20160118,20400
20160119,15001
20160120,25201
20160121,13802
20160123,18600
20160124,33001
20160125,22801
20160126,32350
20160127,24601
20160128,27600
20160129,28801
20160130,28801
20160131,17400
20160201,33601
20160202,33601
20160203,25202
20160204,14400
20160205,7801
20160207,37801
20160208,7800
20160209,9000
20160210,10199
20160211,33600
20160212,33002
20160213,33601
20160214,35400
20160215,15600
20160216,42001
20160217,25200
20160218,36001
20160219,19201
20160220,24002
20160221,41401
20160222,17401
20160223,33002
20160224,31201
20160225,21600
20160226,31202
20160227,34201
20160228,30000
20160229,15601
20160301,26400
20160302,22200
20160303,21001
20160304,47893
